作品类型,作品名,评论内容,主题列表,主题,情感代码,情感
书籍,成为母亲的承诺,写的挺好，很真实的社会学田野，人性如此，高知中产女性倾向于将生育延后，因为各种各样自我实现的需求（事业等）显然比生育重要得多，这很正常，也是人性。发达国家底层女性早早就没有上升的渠道，好的婚姻是奢侈品她们从来没想过会拥有，赚钱更不用说几乎不可能，但是成为母亲是她们人生自我实现找到自我价值感的一条出路，所以她们选择未婚先孕，这也是人性。但两个阶层的人会互相无法理解，高知中产会觉得，既然都那么穷，生孩子干嘛？生孩子只会拖累你搞事业。这本书相当于给中产科普一下人性的常识，能提出这样的批评说明自己存在privileged，在毫无希望的生活里，总要活出有一点意义感和价值感吧。这是她们理性的选择。其实哪怕是高知中产，中年危机，意义感的继续获得受阻之后，也有人转向要一个孩子，以继续获得价值感，这也是人性。,"['性与性暴力', '婚育与母职']",性与性暴力;婚育与母职,PA,喜好
书籍,成为母亲的承诺,贫困未婚妈妈为何早孕？背后的原因或许会让自以为是的中产研究者大吃一惊。穷人其实没那么需要婚姻，对于贫困女性来说，亲子关系才是核心，孩子他爸只是一种可有可无的补充。婚姻可以作为一种理想，暂时不去实现，但孩子必须早生，这样才能更早开始创造人生的意义。贫困女性的伴侣池里的那些男性本就不适合婚姻，她们不婚，恰恰是因为慎重而非轻浮，是考虑更多而非更少。中产研究者所担心的，养育孩子会让她们更贫困，其实也是多虑，她们本来就穷到已难以失去更多，养孩子反而会促使她们更加奋进。而且穷养孩子的成本和目标本来就不高，在这个阶层固化的世界里，贫困妈妈给孩子的爱，足够让他们吃饱穿暖就很好。站在她们的视角，早孕早育是勇敢的，上帝允许的，最遵从生活实际的。而更大的议题，是社会的，而非她们的责任。,"['性与性暴力', '婚育与母职']",性与性暴力;婚育与母职,NE,烦闷
书籍,成为母亲的承诺,"相比于主流观念认为的，非婚生育的母亲不负责任且缺乏远见，本书展现了一群在物质情感双重匮乏中挣扎的女性，如何借由创生这件事去汲取养分，抓住救命稻草，清醒地与充斥毒品暴力的街头划清界限。
她们的婚与育分得很开，“非婚”状态并非出于否定婚姻制度，反而是相信婚姻的神圣，加上身边的男人完全达不到标准驱使的，“已育”状态则是赋予孩子较高社会价值、带来身份认同、自我拯救的动力所驱使的。
本书又一次提醒我，女性内部的境况天差地别——有人看见婚姻在消亡，有人憧憬婚姻是殿堂，有人被生育打破了秩序，有人生育了才得以建立秩序。","['性与性暴力', '婚育与母职', '性别暴力与家暴']",性与性暴力;婚育与母职;性别暴力与家暴,NN,贬责
书籍,成为母亲的承诺,一部鲜活的女性婚育启示录。出身衰落的社区、破碎的原生家庭，贫困街区滋生暴力毒品，在环境的影响下，她们沾染恶习，耽于恋爱，堕无可堕，又因缺乏被爱的体验不知道什么是真正的爱，被男性连哄带骗怀了孕，相似的不幸使得未婚先孕成为一种现象。她们太需要把爱寄托在什么事物上了，太需要被外界肯定获得价值感。婴儿的降临适逢其时，变成以爱为名的救赎，母职在迫使她们做出牺牲的同时也在为她们赋能，结束了混乱无望的生活。相反的，男性为了逃避责任可以继续吸粉劈腿泡吧无恶不作，甚至迁怒女性进行施暴，凑近看尽是他人即地狱的恐怖。很显然，社会对女性和男性的期待不同，婚育成本不对等。在这种前提下，婚姻是一颗看起来光洁美好，却极可能有毒的苹果。因而妈妈们有了自己的主张，不再轻信谁给的承诺，选择抱住自己的孩子，只手撑起一片天。,"['性与性暴力', '婚育与母职', '家务与家庭分工', '性别暴力与家暴']",性与性暴力;婚育与母职;家务与家庭分工;性别暴力与家暴,NN,贬责
书籍,成为母亲的承诺,"一部打破傲慢的、高高在上的传统认知的社会学杰作。在女性主义兴起，中产白人价值观甚嚣尘上的时代，生活在费城最贫困地区的低收入年轻女性们给了我们一记当头棒喝。
对她们来说，“婚姻是奢侈品，孩子是必需品”，男人可能会让她们失望，朋友可能会背叛她们，只有与孩子建立的关系，才是贫困女性认为可以终身依靠的关系……那些认为事业比孩子重要、应该先婚后育的“抽象观点在很大程度上与她们的生活无关”，她们要计算风险，要考虑不确定前景，对于男人，她们要长期“观望”——与其把时间浪费在无望的事情上，不如及早认清一个男人的价值，在核心的母子关系面前，孩子的爸爸只是“有用的补充”。以及事实上，早育她们并没有太大影响，孩子带给她们的自我价值感是所有其他都无法给予的。醍醐灌顶。果然，在真实的田野调查面前，抽象的理论一文不值。","['性别平等与权利', '婚育与母职', '性别歧视与刻板印象', '女性觉醒与独立', '性与性暴力']",性别平等与权利;婚育与母职;性别歧视与刻板印象;女性觉醒与独立;性与性暴力,NN,贬责
书籍,成为母亲的承诺,"这本书最打动我的，是书中对162位底层女性的深度访谈。她们并不是被宏大叙事包裹的“典型母亲”，而是以真实、脆弱、混乱又深刻的声音，讲述成为母亲那一刻如何悄悄改变了她们与世界的关系。书里所谓的“魔法时刻”，不是浪漫化的瞬间，而是身份、责任与连结在同一秒里重叠的转折：有人因此第一次感到被需要，有人反而意识到长期被忽视的自己。

这样的研究在海外已有成熟传统，把母职放回具体的社会结构里去理解，而不只停留在情感叙述。如果国内也能有聚焦底层女性、带着田野温度的母职研究与出版，让更多看似微弱的声音被看见，也许我们能重新理解“成为母亲”到底意味着什么——它不是标签，而是一个需要被认真聆听的生命过程。","['性与性暴力', '婚育与母职']",性与性暴力;婚育与母职,PH,赞扬
书籍,成为母亲的承诺,看这本书的同时也在看这一季的《再见爱人》，还有《all her fault》，各种影视与现实的对照，实在是有意思极了。作为一个已婚铁丁，我最开始确实很难理解书中的女性对生育这件事的执念，毕竟人生实在是苦啊，为什么非要把孩子带来世界上受苦？在幻想中，母职可能是某种掌控或是精神寄托，但现实中，母职只是给自己套上了一个新的枷锁。当婚姻这座大厦看起来并不坚固时，孩子便成了更实在的情感寄托和关系纽带，但如果“合伙”养育孩子的两个人，连最基本的尊重与心疼都无法做到（比如在风沙的时候把头巾让给伴侣），即便是再可爱的孩子，恐怕也无法支撑起一段早已失衡的关系。孩子的到来或许能赋予母亲战斗的勇气，但这场战斗，绝不应是母亲一个人的孤军奋战。在做出承诺之前，或许我们首先要找回的是对自己人生的掌控不是吗？,"['性与性暴力', '婚育与母职']",性与性暴力;婚育与母职,PH,赞扬
书籍,成为母亲的承诺,对美国费城一带160多位贫困城区女性生育和婚姻选择的社会调查。破除诸多社会刻板印象和知识精英认知盲区。,"['性与性暴力', '性别歧视与刻板印象', '婚育与母职']",性与性暴力;性别歧视与刻板印象;婚育与母职,NE,烦闷
书籍,成为母亲的承诺,"在女性主义慢慢觉醒的当代，孩子或家庭看起来更多是一种“束缚”，于是想要看看十几年前大洋彼岸的女性们怎么看待这件事。
书中的她们意外地没有把孩子、婚姻视作依附、躺平，在惊人的成为母亲的年龄背后是她们想要掌握自己人生，把生活过得更好的热血和勇气。
大胆追求自己认为的幸福，过这样的一生，其实并不低谁一等🥲","['性别平等与权利', '婚育与母职', '女性觉醒与独立', '性与性暴力']",性别平等与权利;婚育与母职;女性觉醒与独立;性与性暴力,NN,贬责
书籍,成为母亲的承诺,原版是2005年出版，本书旨在探寻为什么贫困女性在年轻的时候会未婚生子，作者认为，只是争论指责并不能解决问题，首先我们要去了解这些女性为什么会做出这样的选择。作者在书中记录了162位低收入单身母亲的生活，并发现在其背后隐藏着跟更深层次、更复杂的现实，这些女性大部分认为婚姻是一种奢侈品，他们渴望并且希望有一天能够拥有，但如果需要的话，没有婚姻她们也能活下去。另一方面，孩子则是必需品。保守派认为未婚是导致女性和儿童贫困的原因，但是贫困女性认为是因为贫困，婚姻才难以维持。作者指出，最重要的是增加这些脆弱的家庭获得经济安全的机会，为男性和女性提供更多能获得稳定且能养家糊口的工作机会应该是制定政策的主要目标，将经济状况重新纳入政策考量范围，对早育情况的影响可能比对促成结婚更深远。,"['职场歧视与发展', '性与性暴力', '婚育与母职']",职场歧视与发展;性与性暴力;婚育与母职,NE,烦闷
书籍,成为母亲的承诺,非常不错的书，颠覆认知，也是绝佳的社会学研究范本。贫困女性通过育儿找到目标、得到认可和陪伴、获得生活的秩序，母亲角色成为贫困女性生活中的身份和意义来源。而她们不结婚是因为值得信任的像样的好男人太少了。婚姻是一种无法做出的承诺，但成为母亲则可以。她们的怀孕选择和育儿观和中产女性完全不同。让我想到十年前刚开始做性教育时，我总是用一种批评的口吻去看待未婚先孕的年轻人，把它归结为性教育的缺失，现在想来我正是以一种“获得了好的教育、社会资源”的高知女性的视角去居高临下地批评她们。这本书是非常不错的社会学研究范本，还让我想到了快手上的少女妈妈，感觉也是值得研究的对象，可以跟美国对比。,"['性与性暴力', '婚育与母职']",性与性暴力;婚育与母职,PH,赞扬
书籍,成为母亲的承诺,如果你问一个自称喜欢你的人喜欢你什么，对方若答想要你给他生孩子，我就问你，你怕不怕？这本书写美国贫困女性为何都自身难保了，还一个个不管不顾地一个接一个地生孩子。在美国贫困女性的认知当中：男人若爱自己、赞美自己会说“我想跟你生个孩子。”生孩子可以解决她们人生的绝大多数问题，比如：求证自己的男友到底爱不爱自己；给自己一个家；向人证明她的存在是有价值和意义的等等。她们即天真，也现实。会做梦，但知道光做梦是无法生存的。她们不同于中产女性的关键不在认知层面，而在经济层面，在贫困男性多嗑药、犯罪，跟他们结不结婚都没有好果子吃。我反对有的人将女性未婚生育这一现象戏称为“去父留子”，把女性被动、消极的选择说成是主动、积极的选择，从中摘去了男性身为父亲理应对伴侣和孩子承担的责任，说的好像生养孩子只是女性的事。,"['性与性暴力', '婚育与母职']",性与性暴力;婚育与母职,NE,烦闷
书籍,芭芭雅嘎下了个蛋,让我近乎无言的精彩！读书过程中，脑海里回荡着一句话：“如果老妇人无法前往拉普兰，那么拉普兰必要来到老妇人身边。”（抱歉莉奥诺拉，但我确实一直在想着你！）在这故事里，在作者母亲一尘不染的小屋里，在温泉酒店的六日假期里，对老妇人的突破性描写简直绝妙至极。（就像《魔角》一样！）厌女价值观中，衰老是对女人可怕的诅咒，当她的外表失去性吸引力，子宫失去生育价值，她极速萎缩成一组二元对立的形象：好心奶奶或邪恶老巫婆。长久以来，没有人在意老妇人或许也有澎湃的心绪和丰满的情欲，她们合该在自己的角落里过一种沉闷的等死生活，可杜布拉夫卡却给了她们六天古怪又疯狂的温泉酒店自由之旅，然后你会发现，哪怕拖着那么多重负行至今日，她们的人生依然充盈。作为女巫的后代，今天起我们又多了一句咒语：“全世界芭芭雅嘎，联合起来！”,"['性别平等与权利', '婚育与母职', '身体自主与容貌', '性别歧视与刻板印象', '性与性暴力']",性别平等与权利;婚育与母职;身体自主与容貌;性别歧视与刻板印象;性与性暴力,PH,赞扬
书籍,芭芭雅嘎下了个蛋,女巫神话的嬗变里隐藏着一部厌女史，芭芭雅嘎成了被历史反向塑造、被主流社会流放的怪物。杜布拉夫卡坐在世界之臼里，从母女的日常生活一路起飞，跃过三位老妇人的荒诞故事，释出女性漫长幽暗的历史，把孕育之蛋变成一把刺向父权制的利剑。,"['性与性暴力', '性别歧视与刻板印象', '父权与男性凝视']",性与性暴力;性别歧视与刻板印象;父权与男性凝视,NN,贬责
书籍,芭芭雅嘎下了个蛋,我看到了博尔赫斯的影子，看到了伍尔夫的影子，看到了我的因年迈而无力再干家务只能拖着孱弱的身体杵在厨房洗碗池旁审视我洗碗步骤的外婆的影子。,"['父权与男性凝视', '家务与家庭分工']",父权与男性凝视;家务与家庭分工,NN,贬责
书籍,芭芭雅嘎下了个蛋,太妙了，读乌格雷西奇的书就像夜间飞行。三个章节各有美妙之处，母女生活和离散的历史息息相关，三个老妇人的生活像寓言一样神奇，指南又层层递进成了芭芭雅嘎枕下的剑。这是女性的历史，也是被父权社会污名后的血泪账。全世界芭芭雅嘎，联合起来！,"['性与性暴力', '父权与男性凝视']",性与性暴力;父权与男性凝视,PH,赞扬
书籍,圣母,作者把身为女性遭受的屈辱和不公写得非常细腻，然而功亏一篑的是，最后她们的归宿却是自愿或不自愿地成了母亲，心甘情愿地在所谓爱的光辉中变成一种名叫“圣母”的怪物。事实上我觉得对女性的所有枷锁里，被供上神坛的“母性”是第一个该被破除的（为什么我能从每本推理小说里读出这么多女性主义相关内容？）,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,ND,悲伤
书籍,圣母,"叙诡不难猜，但不断重复的三段式叙述真的在文末带出了一种奇异的秩序感。因为文字密度不算很大，所以在阅读过程中留意收集细节的话，就可以把整个事件推理出七七八八，虽然如此还是非常震撼的。作者的描述有着日式女性作家独有的细腻和习惯—文中会出现英语，以及细心地标示出电热水壶的品牌。
着重描述母亲幸苦怀孕过程以及相对的丈夫波澜不惊反应真的过于真实了（又是不婚不育保平安的生动教材）。成为母亲后那种面对未知伤害惊弓之鸟的心情，也鲜明得让有着类似心情的我心有戚戚（从生下孩子到现在，思考问题的角度完全变了，也无法看任何有关儿童的负面新闻，每次看都能够引发剧烈真实的生理不适和疼痛。）","['性与性暴力', '婚育与母职']",性与性暴力;婚育与母职,NC,恐惧
书籍,圣母,"保奈美跟入了跟“母职”有关的邪教一样，拼死拼活也要生下一个孩子，好不容易生下了女儿真琴，口口声声说真琴的降生是奔着幸福去的，但还是会让十三岁的真琴生下因强奸而怀上的孩子，理由之一是真琴前面本应该有几个哥哥姐姐，但是都没能生下来，生命神圣，最后发现真琴犯下的罪行，帮其摆脱嫌疑，曰为“圣母”。
做什么圣母，好好做个人就已经很不容易了。",['婚育与母职'],婚育与母职,NE,烦闷
书籍,圣母,"好几处看得头皮发麻。
只要社会良性运行的机制没有建立：对女性不孕的指责、对生育痛苦的漠视、男性养育过程中的缺位、对少年强奸犯的纵容、强奸取证的低效和对女性的二次伤害……圣母就会是是父权社会下代代存续的女性处境。
它当然不是对母性的讴歌和褒奖，而是一种诅咒，一种触底反弹后迸发出的哀嚎与悲鸣。","['性与性暴力', '婚育与母职', '父权与男性凝视']",性与性暴力;婚育与母职;父权与男性凝视,NN,贬责
书籍,圣母,非常难客观评价的一本书，我甚至无法用以往评判其他推理小说的标准去评判，从客观角度说推理部分的确很孱弱，虽然运用了诡叙的方式故意模糊了时间线，造成性别和角色关系错位的效果，但整起案件都非常清晰，逻辑也很简单，但我仍旧非常喜欢这本书。看日本推理这些年，我一直非常期待有女作家的出现，从宫部美雪，到前几年获奖的樱木紫乃，到今天的秋吉里香子，女性作者选择的视角，每一次都让我感到讶异——在这本书里，圣母的定义被重新诠释，在女儿杀害两个男童后尾随其后，帮她伪造出与她性征相斥的被男性性侵证据，在她可能被发现的时刻挺身而出杀死另一个罪犯。《圣母》意义并不在于简单区隔开善恶的定义，更重要的是，一个曾经被性侵的女孩儿，在14岁生下女儿后，她带着过往伤痕想要保护可能面临危险的女儿时，她和母亲都成为了握着屠刀的圣母。,['性与性暴力'],性与性暴力,PH,赞扬
书籍,我不想知道的事,真的很好看！现在是不是只要搭点边儿的女性文学，都要被冠以女性主义（写作）的名头？似乎只有这样才好卖，哈哈哈哈。这本书虽然涉及对性别文化的思考和女作家的写作，但它更多是在讲利维自己的成长经历：南非种族隔离政策使她父亲含冤入狱，以及这件事情带给她童年的深刻创伤，移民英国🇬🇧之后，她似乎永远落空了的归属感……难得的不是她的经历，而是她把经历讲述成故事时的幽默、豁达和轻盈。她让读者以轻松的方式走向对沉重事物的感受和反思，这就是一个作家的本领和关怀。特别喜欢利维组织这本书的方式，大框架上以旅行中的讲述开端，再以之结束，形成一个回环的结构；而在更小的篇幅里，她的安排也处处见匠心。总之，她能使你不知不觉中被她的故事吸引，只想一页接着一页往下翻，又让你毫无阻碍地感知到她真正想告诉你的重要的东西。,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,我不想知道的事,一个作家的专辑中最精彩的部分不是异乎寻常的经历的记录，而是具有本人的风格的故事。她读书，她思考，她塑造强大的自我，她写下对于其他女性作家的女权主义批评理论的一系列认同。当中是马略卡岛的春天、种族隔离制度下的南非童年、十五岁在英国的廉价小餐馆里的餐巾纸上写作和没有盖子的被称为“家”的小屋子里——在迫不及待逃离自己的生活之后到别人的国家生活。让我感受到时间的流速，以及人生一度下沉后的沉重感，再一记漂亮隽永而极具现实性的收尾——「作家更需要的是一条电源延长线，还有各种转换接头。」杜拉斯著作《物质生活》的大篇引用又让我直觉封神！来自1987的瑞思拜！,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,我不想知道的事,“论女性写作”首当其冲的问题是如何定义女性写作，是广义的顺性别女性进行的写作，还是狭义的女性富有女性主义觉醒的写作。前者时常会冒出一些身是女性身，脑是男性脑的不和谐音。但是我们不妨把定义放的宽一些，因为现实中的女性过着多样化的生活，每一面都是我们要面对并可以讨论的。德博拉·利维并没在书里直接控诉父权制怎样伤害、妨碍了她。一切由她莫名哭泣开始，她没明说她为什么而哭。读者可以化身侦探或者作者进入她的回忆，我们看见我们想看见的，我看见一孤独、沮丧，无法表达自己的小女孩，她被生活噤声并习惯了被噤声的生活。噤声是她的禁令、恐惧、秘密，有着要和不要双重的界限。德博拉·利维自父亲入狱以后的学校生活、寄养生活，那些想说却没说出口的话最终变成了文字—“我”很重要，“我的话”很重要，不需要谁来审批和认可。,"['性别平等与权利', 'LGBTQ+', '女性觉醒与独立', '父权与男性凝视', '性与性暴力']",性别平等与权利;LGBTQ+;女性觉醒与独立;父权与男性凝视;性与性暴力,NB,悲伤
书籍,如果我们无法以光速前行,"硬着头皮看好久，一直期待着这8.4的高分能有打动我的句子与情节，读完整本发现只是俗套和作者的自我感动。这个世界是怎么了？因为是女性作品，是软科幻就可以装作看不见小学生一般的文笔嘛？地球上的优秀科幻作品那么多，优秀女性文学那么多，这糟糕的对白与情节，只会让人觉得无聊的科幻设定，勉强及格的女性主义色彩，怎么就让大家吹的上天了？什么时候文学也要搞带着女性主义标签就疯狂加分的那一套了？我只想说好的作品太多了，而只要人们因为浮于表面的自我感动与身份认知假装高潮，我们就会生产出越来越多的文学垃圾。谢谢这本书浪费了我人生中的五个多小时，以后这种垃圾产品不要再摆到大众市场上了。
2/10","['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,NN,贬责
书籍,如果我们无法以光速前行,"女性主义软科幻，我认为其女性主义的价值要超越科幻的部分。为此我要打五星，就像给《热辣滚烫》打五星一样。女性要团结起来发出自己的声音，别再被男权割裂。
舒适阅读，不用担心出现令人不悦的男凝情节，女性也不再是性客体，重要角色不再被男性包揽，女性基本上均以正面形象出现。也许这是只有女性才能感受到的舒适。
书中对于女性共同体的描绘也非常美好，这种去性缘化的情谊温柔而有力，真挚且单纯。对比许多艺术作品对男性友情的描写，往往都是围绕着事业、义气、牺牲，非常单一，具有强烈的目的性，很难动人。如果说男性情谊像两块相吸的硬金属板，女性情谊则更像两条河流汇成同一片湖泊。
越来越感到，女性生来就有“爱”的天分，男性的Y基因里则写着“竞争”。
最喜欢《光谱》和《朝圣者们为什么不再回来》。浪漫，坚毅，富有爱的哲学。","['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,如果我们无法以光速前行,从未在科幻作品中读到如此的人文关怀，这是一本必要的书，一本真正女性主义的书。同时又完全不匮乏想象力，真正的科幻。,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PG,相信
书籍,如果我们无法以光速前行,如果一切都是女性主义，那为何要谈论女性主义？套了科幻皮的直白输出，有新意但不如不写，给点真东西瞧瞧可以吗？属于是女性和科幻都没写到位的类型。,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,PH,赞扬
书籍,她厌男，她是我女友,读完这本决定了，以后新上架的女性主义文学，三思而后看。是从男性视角写的与激进女权恋爱的故事——然而读这本书的只会是女人，除了让人感叹“这男的好典”有什么作用？对女权主义者心理的刻画也很脸谱化和幼稚化…女权主义者=短发+不化妆+示威+随时随地标logo的大t恤+小玩具+做爱坚持女上位+不婚+经济独立还会自己搬东西？这不就脸谱标签大陈列吗，一边做厌男激女，一边和划重点，【没感情】的前任滚床单那么开心，生理反应骗不了人啊大姐，这根本不是情绪性的厌男，只是把政治当生活了啊…这么说6b4t被你扔哪儿去了呢，又要沾男又要aa制又要自己搬东西，这样“我能行”是能带来身份政治快感？后果不就自己没获得一点儿好处，还得给前任免费支教吗…我一直觉得韩国人搞的女权相关作品都挺搞笑的,"['性别平等与权利', '婚育与母职', '女性觉醒与独立', '性与性暴力']",性别平等与权利;婚育与母职;女性觉醒与独立;性与性暴力,NN,贬责
书籍,她厌男，她是我女友,建议先看篇尾《作者的话　女性主义者的恋爱丧尸路》再决定要不要阅读正文。首先，我不喜欢男性视角的叙述，虽然是典中典，但有种被迫观看大肚裸男的恶心感。其次，尽管故事结局是女主独自去冰岛，但整篇给人一种将女权作为时尚单品的都市女人调教男友（最终失败）的可笑感，再次印证了异性恋女人所谓的厌男和男人的厌女是两个维度的概念。最后，不要碰瓷“激进”，谢谢。,"['性别平等与权利', '性别歧视与刻板印象', '女性觉醒与独立', '性与性暴力']",性别平等与权利;性别歧视与刻板印象;女性觉醒与独立;性与性暴力,PB,喜爱
书籍,她厌男，她是我女友,适合送给还没怎么接触过女权主义的姐妹读着玩儿。但问题是这种书难道不是更应该给男的读吗……我觉得男主的很多想法大概就是我身边会接触到的99%的顺直男会有的想法了（至少在他们人生的某个阶段会这么想），可是大多数男的不愿意了解、也根本不会翻开这种标题就很女权的书，即便它是如此浅显甚至俗套的畅销小说,"['性别平等与权利', '女性觉醒与独立']",性别平等与权利;女性觉醒与独立,NN,贬责
书籍,她厌男，她是我女友,"感觉这种书，比起女性更适合男性看，书中的情景和对话，女性再熟悉不过了，我看了除了生气和对恋爱更加悲观以外，没有太多别的收获。而男性往往不具备或意识不到这样的女性视角。
不过女主在与男主复合后一直坚持一人一杀，这是抱着“说了对方也不会理解”的先入为主的悲观思想的我做不到的，我很佩服。
最后多加一星给最后一章作者的自白：三十几岁的女性主义者的恋爱几乎是一条丧尸路。","['性别平等与权利', '女性觉醒与独立', '女性情谊与叙事', '性与性暴力']",性别平等与权利;女性觉醒与独立;女性情谊与叙事;性与性暴力,NE,烦闷
书籍,她厌男，她是我女友,真是给激进女权泼脏水的“好书”，编辑和译者都挺男的。,"['性别平等与权利', '女性觉醒与独立']",性别平等与权利;女性觉醒与独立,NN,贬责
书籍,她厌男，她是我女友,"这本书能这么火完全是因为女权主义的主题，但实际上这本书文笔较差，对于女权主义的探讨也比较浅显，仅仅围绕女性要不要结婚要不要生孩子来讨论，难道恋爱结婚的女人就不女权了？
对男性心理的描写也较为粗浅，男人也不傻，有的时候他们对女性的歧视并不是表面的认为女性只是生孩子伺候人的工具，他们有时候会尊重他们的工作，但却不给予任何权利，就像芭比所说的他们会更隐蔽的歧视女人。","['性别平等与权利', '婚育与母职', '女性觉醒与独立', '职场歧视与发展', '性与性暴力']",性别平等与权利;婚育与母职;女性觉醒与独立;职场歧视与发展;性与性暴力,NN,贬责
书籍,她厌男，她是我女友,和《82生的金智英》一个毛病，有一种网络热帖整合感，中译者是懂这个理的，娴熟地把一些原文转换成了中文网络里对应的“直男癌”一类热词，“韩男”对应的就是“国男”嘛，原书标题也没有“厌男”这个词亦是此理。因为这类书属于选题意义大过内容，你也不能说这十万加畅销style的东西写得没价值，毕竟也有社会观察的意义嘛，但这部恋爱轻喜剧的性别刻画和探讨，终究还是太粗浅、虚浮了。纸片一样单一的刻板人设且不说，这种女性视角想象出来的典中典男性主角，其实好多地方还是有点太细腻敏锐了233，未免违和(能思考这么细大概率也当不成典中典男性），而且真·激女恐怕根本不会和男主发生任何性缘关系啦。半个多小时翻完好想去韩国写畅销书啊，so easy！,"['性与性暴力', '女性情谊与叙事']",性与性暴力;女性情谊与叙事,NN,贬责
书籍,她厌男，她是我女友,很难想象是位女作者写的，看内容以为是“韩男”ˊ_>ˋ 太刻板印象了，这位作者本质是厌女吧……#很遗憾不能打负分+1,['性别歧视与刻板印象'],性别歧视与刻板印象,NN,贬责
书籍,她厌男，她是我女友,比起“男性敏感部位”，我更受不了的翻译是“激进女性主义”，你不提那个“权”字，却和“激进”组合在一起，十分别扭；但最后看完我又觉得算了，因为书里的内容一点都不激进。,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,NN,贬责
书籍,她厌男，她是我女友,"《当一个上海女权主义者和山东男人谈恋爱时，他们在谈些什么》。轻小说，没啥意思，很无聊，虽然都是女的标记但建议男的读。唯一的亮点是我一度担心结尾男的终于被改造了，开始共情女的，然后异性恋美美在一起。但！没有！不是！结尾男的即使陷入一些微不足道的困惑，照样开始接受相亲安排，并且想着和漂亮的相亲对象做爱（典）。而女生的轨迹和我太像啦。结局女生选择分手，一个人远赴冰岛。因为当地终止妊娠合法化，她要去取材研究，写本书，「想知道这件事对那个国家的二三十岁女性有何意义。」

最喜欢书里那句话，「好女人去天堂，坏女人想去哪去哪」。

Ps：看了眼作者是85后怪不得男主形象这么单薄老气，我感觉我们这代女权主义者现实里压根不会碰到这种典中典的鲁国男人，更多是那不勒斯里尼诺那种伪装得很好的女权男好吗….","['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,NE,烦闷
书籍,她厌男，她是我女友,“激进女性主义者”🤣🤣🤣,"['性别平等与权利', '女性觉醒与独立', '性与性暴力']",性别平等与权利;女性觉醒与独立;性与性暴力,NN,贬责
书籍,她厌男，她是我女友,两星半吧，女主角并不能说是个激进女性主义者，反而其实她可谓极其温和了。这类社会题材类小说，文笔或者思维都是缺乏的，只是一个横切面，而且是不痛不痒的横切面。啊，是韩男是这样的，社会是这样的，父权制是这样的，所以呢？看这本书，不如去随意一条家暴或者女性受挫的微博或者抖音底下看看评论来得触目惊心，或者直接微博搜索“小仙女”即可。ps加半颗星是给结尾，女主角到底没有被这个在社会大众看过去已经很不错的男人同化。,"['性别平等与权利', '女性觉醒与独立', '父权与男性凝视', '性别暴力与家暴', '性与性暴力']",性别平等与权利;女性觉醒与独立;父权与男性凝视;性别暴力与家暴;性与性暴力,NN,贬责
书籍,女性卫生用品的社会史,看前面的时候真的很生气！世界上一半人的正常生理现象（甚至还和繁衍息息相关）一直被认为污秽、不吉利、见不得光，即便开始有卫生用品却仍然为女性带来不便、疾病和多余的花费。直到商业主义的发展、媒体广告的传播，才让原本遮遮掩掩的女性卫生用品飞速进化，出现在超市的售货架上。但直至今日像菜菜在脱口秀中讥讽的“月经羞耻”还广泛存在：上学时女生用校服袖子传递，便利店店员“好心”用黑色塑料袋包裹，电视为了观感用蓝色液体代替经血，到底是什么这么脏这么不堪这么说不出口！就要说！月经月经月经月经月经！卫生巾卫生巾卫生巾卫生巾卫生巾！,"['性与性暴力', '身体自主与容貌']",性与性暴力;身体自主与容貌,NN,贬责
书籍,女性卫生用品的社会史,中国女性研究者也该写一本我们的，尤其是一些特殊节点，比如：对华战争时的棉花短缺，禁忌观念，古诗词中的月经，第一款卫生巾，日化产业，环保，广告……不过我看了书才第一次知道法国有租赁卫生巾！,"['性与性暴力', '身体自主与容貌']",性与性暴力;身体自主与容貌,NE,烦闷
